Date, Duration, Purpose, Description
2023-01-26, 3:28:13, Learning, Learning the basics of latex. See the result at: https://github.com/jaroslavlanger/learning/blob/main/documents/latex/how_to_latex.pdf
2023-01-26, 1:30:29, Melanoma detection task, Command line arguments parsing with python.
